 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
28,-38.951637739092504,971.1795647729924,12617.759240446841,935225.0150916418,2844956.553676121,628.4698118192862,502.97783802899335,4771076.293265685,133042.22431966587,33.37657502697787,2593.627877588077
29,-36.451637739092504,973.5300073076821,12599.031234815577,935225.0150916418,2853781.284495073,624.1569752868346,498.097646714993,4772655.206342213,134142.4302878644,33.036673497087165,2593.627877588077
30,-33.951637739092504,975.9197540931815,12580.51854151697,935225.0150916418,2862734.3582296376,619.8130205631978,493.1865339611856,4774217.919153962,135274.63437009708,32.69460538023746,2593.627877588077
31,-31.4516377390925,986.947106505212,12624.43137598417,933880.4339446956,2887651.7362934016,615.2781978211353,488.23825627497604,4775766.069703289,136826.79474919007,32.49051643827662,2593.6267064961075
32,-28.951637739092497,1015.3990073295524,12794.286423240274,929900.0416232583,2944838.4553494933,610.5124237875646,483.1971711940535,4777328.03466091,139197.92138636348,32.55501497125817,2593.6230963804146
33,-26.451637739092497,1064.4213207210807,13102.453967467396,923103.6611535829,3040967.705068812,605.2112589311037,477.9793022186565,4778952.225825858,142505.3762416629,32.90366049868661,2593.616403531201
34,-23.951637739092494,1139.8192175503498,13581.680474867791,913126.0564419711,3187277.3856180767,599.6510698361561,472.4791560935642,4780697.539623453,146954.61972545972,33.578919203786135,2593.6052258374243
35,-21.45163773909249,1253.3388264917164,14304.267429897422,899239.1842918999,3406559.799966236,594.120321949873,466.545690998594,4782648.380419487,152743.80133479406,34.720715137221944,2593.586502964462
36,-18.95163773909249,1423.8134425853852,15367.348771070749,880660.9918583843,3735933.426623533,589.1922336580467,460.5705384281812,4784931.6684172,160329.67943398101,36.45478119764323,2593.554172781888
37,-16.451637739092487,1697.5100590361103,16984.5406721918,855389.784012062,4268202.637396809,583.8306012200786,454.19830506929134,4787781.417874815,170827.48631505255,39.067704046664375,2593.491720770363
38,-13.951637739092485,2172.297232790144,19583.099802924222,820510.9293389465,5197899.731936244,578.8132033246854,446.5029945966804,4791636.4437587485,185573.14240267547,43.17531337245023,2593.3508989433835
39,-11.451637739092483,2947.1579502633617,23363.973166444495,777975.611528375,6727510.8749874765,574.775600105573,437.38472194962196,4796999.4611034505,203830.52061860284,48.92631878275485,2593.026356756902
40,-8.95163773909248,4235.588583713739,29013.59528645005,726446.4377037282,9270042.125961006,575.390995475246,427.7523783716451,4804798.917512808,225983.36578624957,56.65208124314479,2592.186150806106
41,-6.451637739092478,6607.234440510268,38351.347942142376,654641.5397728373,13881477.480412584,588.5394637192643,416.8075104495066,4817011.516150581,253144.95125776096,67.68409327697083,2589.3303032944636
42,-3.9516377390924755,9685.836900055288,47899.169619498716,563381.8307542511,19776200.890356876,599.4128586156364,404.5728599504667,4835321.943119081,278034.4991128535,77.6114460296286,2581.0910711359893
43,-1.4516377390924733,11813.806121227206,54186.80459095081,414255.26338864316,23404854.903179973,601.7828614281914,391.34713596611203,4860527.2797985105,294249.2777293119,81.90058341905556,2547.70846111958
44,1.048362260907529,11074.508174602592,51676.50026728811,320039.6233933966,21744085.123178497,584.4742285193003,379.92292802002567,4890907.860761772,299583.0438227114,76.5489961614645,2518.744994712461
45,3.548362260907531,8961.457995987093,44540.268457908154,226502.69032186572,17500098.25040765,553.8547751795588,368.27431567184954,4919113.695091718,298808.66917661077,66.66111828631433,2479.8266126207996
46,6.048362260907533,7455.499070011958,39442.175758971876,179568.83168614216,14536928.723393776,528.9574725141379,355.68490360835557,4939368.009652733,298050.6328804895,58.92416873643573,2454.381242256829
47,8.548362260907535,6336.539695528217,35380.831972738946,148916.95048354217,12355909.255352002,508.7509816314633,344.38591186960656,4954517.439283292,297271.16775737045,52.67435142613914,2434.4426143245328
48,11.048362260907538,5488.149173007559,32080.821777974455,127329.9993903856,10705665.153767526,490.97793989646937,334.1274173686778,4966171.194690398,296617.1057111667,47.58677694648926,2418.1905529633796
49,13.54836226090754,4859.060373108597,29525.03835705558,112103.80787120698,9478405.728705442,477.9570464031912,324.7659467842408,4975342.319964598,296596.2530530263,43.52448968017337,2405.274272158691
50,16.048362260907542,4404.884251602554,27356.499188975125,101027.17959461611,8614348.5770287,462.5160322246673,316.122418397024,4982801.992682297,297354.946219045,40.23278718638272,2394.926256650711
51,18.548362260907545,4055.195377372943,25745.02447231325,92759.29639627719,7942627.9987271475,451.12517266035456,307.97736451971736,4989051.45439837,298901.8917171637,37.52433993733396,2386.5709303851277
52,21.048362260907545,3784.032065275666,24522.77593850387,86471.1070700616,7419089.375086189,442.3842827867669,300.22201041298376,4994421.074327849,301228.3119022046,35.26264763035683,2379.794303613985
53,23.54836226090755,3610.4496767681626,27497.008429081114,81626.48349342721,7129869.1846054485,422.4653352451984,292.7721016920879,4999134.871021363,60659.040066803536,3.5045377609799035,2374.29093895676
54,26.048362260907552,3439.5742911943516,26313.85292152245,77865.67962165331,6791538.498972612,418.5847507476176,290.47646114238023,4999583.3460598625,57594.58249299435,3.4068338954700463,2369.8305862927773
55,28.548362260907552,3303.681987733917,25717.122066283187,74992.1101125602,6517018.199183012,417.030894495213,288.0,5000000.0,57049.58103646712,3.339414737548505,2366.3017920516068
